concurrency,avg node bandwidth,avg node concurrent mean,avg node mean,avg node longest,avg php bandwidth,avg php concurrent mean,avg php mean,avg php longest
2,106.02333333333333,9.433,18.866,57.333333333333336,129.60333333333332,7.717333333333333,15.435,55.333333333333336
4,157.42333333333332,6.352333333333334,25.409333333333333,54.333333333333336,180.68999999999997,5.534666666666666,22.138,61.333333333333336
8,186.15333333333334,5.407666666666667,43.26,98.66666666666667,172.78333333333333,5.940666666666666,47.523666666666664,1122.0
16,201.25,4.972,79.55399999999999,115.33333333333333,194.95000000000002,5.137666666666667,82.20533333333333,115.66666666666667
32,191.92,5.210999999999999,166.74900000000002,262.3333333333333,184.82000000000002,5.4110000000000005,173.14533333333335,221.33333333333334
64,201.48666666666668,4.965,317.7683333333334,360.0,193.45333333333335,5.171666666666667,330.9773333333333,378.3333333333333
128,196.94333333333336,5.078,649.9536666666667,707.3333333333334,190.79,5.2413333333333325,670.8926666666667,777.3333333333334
256,193.8166666666667,5.159999999999999,1320.9086666666665,1382.0,187.10000000000002,5.345,1368.3696666666665,1466.0
512,166.74666666666667,6.067666666666668,3106.678,2921.3333333333335,70.08,14.269666666666666,7306.001,8182.0
1024,193.76666666666668,5.168666666666666,5292.969666666667,5165.0,66.60333333333334,15.050666666666666,15411.714666666667,16978.0
2048,161.20333333333332,6.206333333333333,12710.060333333333,12637.333333333334,65.55,15.329,31393.79533333333,30003.0
